kda,assists,deaths,denies,game_mode,gpm,hero_damage,hero_id,kills,last_hits,leaver_status,level,match_id,player_slot,steam_id,total_gold,tower_damage,win,xpm
,18,12,10,3,283,8632,83,2,45,0,22,4196318122,0,,13466,159,0,436
,14,13,10,3,540,46884,9,19,225,0,25,4196318122,1,140680642,25695,2632,0,635
,19,14,3,3,855,42490,73,8,400,0,25,4196318122,2,101695162,40683,2105,0,639
,19,8,14,3,520,34357,4,12,237,0,25,4196318122,3,,24743,3072,0,671
,23,14,3,3,380,21006,64,5,162,0,24,4196318122,4,138156849,18081,334,0,517
,28,10,24,3,336,15446,97,3,113,0,24,4196318122,128,256313200,15988,748,1,521
,16,6,17,3,583,50767,114,21,238,0,25,4196318122,129,138105639,27741,4960,1,667
,29,7,5,3,439,19817,112,0,155,0,25,4196318122,130,201770841,20889,2329,1,566
,12,10,13,3,651,61032,61,28,295,0,25,4196318122,131,,30976,5747,1,841
,30,14,2,3,399,25024,121,8,76,0,24,4196318122,132,279997546,18985,627,1,529
,9,14,3,3,399,23398,2,11,210,0,24,4193417965,0,125861458,20648,0,0,493
,13,13,21,3,554,16148,6,3,426,0,25,4193417965,1,130416036,28669,1986,0,602
,15,11,1,3,324,14640,16,2,123,0,24,4193417965,2,151798794,16767,0,0,506
,14,5,13,3,602,36347,9,11,416,0,25,4193417965,3,137129583,31153,3807,0,650
,13,9,2,3,383,25843,5,2,151,0,24,4193417965,4,249016996,19820,0,0,510
,10,5,38,3,644,33734,33,13,345,0,25,4193417965,128,101695162,33327,6895,1,596
,23,6,4,3,396,18209,27,5,176,0,25,4193417965,129,323850987,20493,2266,1,612
,26,8,0,3,266,17818,107,5,28,0,20,4193417965,130,180950681,13765,42,1,348
,15,5,7,3,666,47697,36,16,459,0,25,4193417965,131,137272985,34465,2756,1,659
,24,6,14,3,666,32940,8,10,486,0,25,4193417965,132,861227861,34465,8219,1,695
,19,9,0,3,327,11091,84,8,9,0,19,4193337196,0,285989226,11009,791,1,462
,12,2,20,3,823,23778,114,15,387,0,25,4193337196,1,372595310,27707,7770,1,843
,20,4,1,3,397,15262,121,4,63,0,19,4193337196,2,342340720,13365,1526,1,472
,12,6,10,3,659,33351,34,7,375,0,23,4193337196,3,,22186,22,1,672
,11,5,12,3,506,20165,19,7,180,0,20,4193337196,4,168798737,17035,5291,1,533
,5,10,4,3,369,10483,96,3,166,0,17,4193337196,128,855369696,12423,0,0,407
,12,10,2,3,401,16597,110,6,80,0,18,4193337196,129,296514230,13500,144,0,426
,11,5,12,3,530,22583,74,6,190,0,22,4193337196,130,137129583,17843,346,0,623
,6,6,9,3,479,10617,12,6,227,0,20,4193337196,131,101695162,16126,865,0,513
,10,11,1,3,235,7289,85,4,35,0,14,4193337196,132,143920656,7911,16,0,292
,14,3,7,3,325,10645,75,5,49,0,17,4193160083,0,219179771,11001,0,1,375
,16,6,8,3,420,14364,110,1,134,0,21,4193160083,1,94296097,14217,92,1,576
,7,1,33,3,834,18283,41,12,415,0,25,4193160083,2,125581247,28230,7091,1,911
,10,0,14,3,479,15409,19,10,143,0,23,4193160083,3,279997546,16214,3155,1,660
,12,5,5,3,484,19591,17,8,231,0,21,4193160083,4,94738847,16383,522,1,595
,7,7,4,3,215,7661,86,1,57,0,17,4193160083,128,101695162,7277,0,0,385
,10,9,4,3,229,8243,85,2,28,0,18,4193160083,129,223968209,7751,21,0,435
,9,8,4,3,290,9346,63,0,120,0,18,4193160083,130,149903953,9816,0,0,440
,1,6,12,3,520,10570,25,4,315,0,21,4193160083,131,106863163,17602,592,0,554
,4,7,21,3,517,17431,109,7,272,0,21,4193160083,132,108717482,17500,791,0,581
,24,9,9,3,500,45996,63,17,236,0,25,4192894105,0,,25733,4714,1,717
,25,10,0,3,452,17405,68,7,106,0,25,4192894105,1,175852704,23262,954,1,527
,38,7,2,3,422,25992,121,4,152,0,25,4192894105,2,140095766,21718,1078,1,547
,21,5,9,3,627,43181,106,21,408,0,25,4192894105,3,94738847,32269,774,1,658
,23,8,10,3,445,14987,41,6,218,0,25,4192894105,4,313352773,22902,3394,1,593
,9,13,28,3,480,29602,19,12,249,0,25,4192894105,128,252244084,24704,2499,0,546
,17,14,3,3,329,18791,101,6,102,1,25,4192894105,129,,16932,85,0,550
,17,7,14,3,658,23514,95,11,432,0,25,4192894105,130,101695162,33865,2334,0,687
,16,10,2,3,576,25991,17,6,419,0,25,4192894105,131,302425972,29644,650,0,642
,25,13,4,3,385,13237,7,3,131,0,25,4192894105,132,149113938,19814,155,0,577
,16,10,4,3,384,23433,7,11,110,0,25,4191624697,0,,25164,1649,1,485
,16,10,0,3,514,39873,2,15,329,0,25,4191624697,1,88470,33684,2214,1,541
,24,2,11,3,812,52005,106,12,727,0,25,4191624697,2,92590479,53213,2783,1,773
,11,21,9,3,401,16418,119,7,166,0,25,4191624697,3,141065684,26278,3894,1,470
,33,7,4,3,569,87752,22,8,445,0,25,4191624697,4,,37288,431,1,582
,19,16,7,3,242,9215,3,3,49,0,25,4191624697,128,285100046,15859,0,0,476
,16,13,5,3,514,33766,41,15,425,0,25,4191624697,129,219179771,33684,650,0,650
,18,6,14,3,658,36771,36,15,638,1,25,4191624697,130,101695162,43120,1367,0,686
,23,10,3,3,385,33232,45,10,180,0,25,4191624697,131,393647059,25230,2823,0,502
,17,8,19,3,515,31199,4,7,389,0,25,4191624697,132,138885864,33749,136,0,590
,11,3,14,3,659,34931,44,7,390,0,25,4191104062,0,181563525,27062,5020,1,680
,16,3,4,3,370,14967,111,7,64,0,21,4191104062,1,94296097,15194,125,1,454
,11,11,10,3,352,14601,96,5,101,0,20,4191104062,2,315272623,14455,2566,1,420
,13,5,29,3,649,32555,46,7,360,0,25,4191104062,3,106863163,26652,12045,1,706
,12,9,3,3,373,15579,86,7,99,0,20,4191104062,4,101695162,15317,235,1,437
,19,10,3,3,278,7572,50,8,39,0,19,4191104062,128,141278621,11416,45,0,386
,14,9,3,3,305,8972,26,4,47,0,19,4191104062,129,94738847,12525,96,0,406
,14,3,2,3,372,11793,97,2,186,0,21,4191104062,130,92590479,15276,586,0,479
,17,5,8,3,358,26791,106,6,146,0,20,4191104062,131,,14701,722,0,445
,17,6,7,3,449,29334,4,9,240,0,20,4191104062,132,136353896,18438,600,0,417
,16,10,12,3,484,21029,109,8,269,0,23,4191022720,0,,20287,396,0,550
,14,11,22,3,425,22266,84,10,128,0,23,4191022720,1,,17814,645,0,551
,19,9,16,3,476,32351,74,13,239,0,24,4191022720,2,106863163,19952,1126,0,614
,22,8,1,3,370,16962,121,11,49,0,21,4191022720,3,135188360,15509,54,0,457
,23,11,13,3,310,23519,27,3,102,0,21,4191022720,4,181563525,12994,2361,0,480
,25,12,2,3,454,24033,5,4,125,0,24,4191022720,128,94296097,19030,67,1,615
,24,13,19,3,455,13627,96,3,213,0,24,4191022720,129,179559744,19072,904,1,600
,15,4,16,3,861,41322,41,25,400,0,25,4191022720,130,101695162,36090,11478,1,901
,21,6,7,3,547,23139,79,10,209,0,25,4191022720,131,125581247,22928,1756,1,809
,17,10,9,3,522,20005,49,7,282,0,24,4191022720,132,94738847,21880,2101,1,619
,18,1,22,2,377,14607,51,6,38,0,17,4189732301,0,101695162,9745,194,1,523
,9,3,18,2,711,4069,6,1,305,0,21,4189732301,1,125581247,18379,1425,1,724
,16,5,3,2,645,27618,45,16,132,0,22,4189732301,2,94738847,16673,5214,1,782
,14,6,0,2,339,6369,26,1,50,0,14,4189732301,3,94296097,8763,150,1,387
,13,1,23,2,702,23342,74,17,164,0,21,4189732301,4,126271070,18146,8431,1,742
,11,7,2,2,215,7773,21,1,28,0,12,4189732301,128,90892194,5557,0,0,271
,8,9,1,2,230,7134,7,2,27,0,12,4189732301,129,109081055,5945,31,0,273
,6,7,3,2,276,5079,97,1,76,0,14,4189732301,130,,7134,0,0,349
,2,10,5,2,368,8817,17,1,169,0,14,4189732301,131,90045009,9512,0,0,373
,2,10,15,2,401,14810,44,11,114,0,15,4189732301,132,90137663,10365,0,0,419
,29,4,5,2,293,13092,91,3,104,0,25,4189574899,0,136575603,16539,553,0,676
,30,8,1,2,358,12342,100,5,79,0,25,4189574899,1,,20209,76,0,499
,16,7,18,2,695,45651,25,22,504,0,25,4189574899,2,149486894,39232,5078,0,667
,15,5,10,2,722,57900,72,19,609,0,25,4189574899,3,,40756,2324,0,638
,25,7,15,2,412,18758,65,6,250,0,25,4189574899,4,111189717,23257,79,0,547
,20,9,1,2,300,26373,103,2,100,0,25,4189574899,128,101695162,16935,521,1,489
,7,3,7,2,816,47271,10,14,615,0,25,4189574899,129,125581247,46063,7589,1,672
,13,17,9,2,354,19811,36,5,157,0,24,4189574899,130,94738847,19983,638,1,456
,17,17,2,2,328,17023,84,4,42,0,23,4189574899,131,94296097,18515,201,1,431
,17,9,6,2,584,35123,74,5,382,0,25,4189574899,132,126271070,32966,2171,1,574
,11,2,5,2,466,4072,6,3,66,0,12,4189518486,0,101695162,7937,2222,1,434
,4,1,7,2,734,12742,92,13,87,0,17,4189518486,1,125581247,12502,9953,1,746
,11,5,15,2,593,14478,114,10,81,0,13,4189518486,2,94738847,10100,1060,1,514
,9,3,1,2,312,5666,5,1,20,0,9,4189518486,3,94296097,5314,203,1,277
,9,2,21,2,634,10517,10,9,91,0,13,4189518486,4,126271070,10799,4485,1,497
,4,6,3,2,334,9162,21,4,42,0,12,4189518486,128,107546435,5689,0,0,427
,3,7,8,2,313,4617,95,4,48,0,10,4189518486,129,140642656,5331,0,0,310
,7,8,1,2,190,3054,86,0,8,0,9,4189518486,130,282993686,3236,0,0,271
,4,7,0,2,176,5807,75,3,3,0,6,4189518486,131,171452531,2997,0,0,164
,4,8,1,2,286,3175,78,1,40,0,10,4189518486,132,,4871,0,0,327
,14,8,12,3,554,49136,34,7,373,0,24,4189430588,0,205139756,22806,0,0,615
,14,10,22,3,422,19889,33,4,175,0,21,4189430588,1,,17372,1550,0,469
,14,15,1,3,194,11743,7,2,35,0,17,4189430588,2,,7986,0,0,310
,8,5,18,3,470,17679,10,9,287,0,23,4189430588,3,313744564,19348,237,0,578
,16,16,6,3,263,9592,79,2,63,0,23,4189430588,4,249835593,10826,0,0,564
,12,4,23,3,662,42557,39,28,242,0,25,4189430588,128,200037203,27252,5006,1,740
,21,2,3,3,415,11060,27,5,131,0,23,4189430588,129,94296097,17084,3759,1,552
,14,5,6,3,553,25704,2,12,259,0,25,4189430588,130,101695162,22765,2190,1,671
,15,4,29,3,574,19003,36,8,294,0,24,4189430588,131,93289364,23629,4851,1,620
,30,11,3,3,278,14274,88,1,14,0,17,4189430588,132,346285817,11444,804,1,330
,7,13,8,3,316,15049,79,5,54,0,17,4189203546,0,207983361,10559,0,0,398
,2,6,18,3,666,26092,74,14,230,0,25,4189203546,1,106863163,22255,1892,0,855
,11,9,5,3,418,14330,120,3,148,0,20,4189203546,2,101695162,13968,42,0,526
,16,12,3,3,241,11116,88,0,17,0,16,4189203546,3,272363404,8053,0,0,368
,6,11,13,3,479,11462,95,4,212,0,20,4189203546,4,154050849,16006,193,0,538
,26,7,4,3,350,14147,107,6,43,0,20,4189203546,128,94296097,11695,51,1,514
,20,5,2,3,378,8651,75,3,76,0,19,4189203546,129,138868626,12631,59,1,502
,22,5,18,3,479,13987,41,10,142,0,23,4189203546,130,144220699,16006,1006,1,701
,9,2,19,3,817,25800,109,20,336,0,25,4189203546,131,142589406,27301,12252,1,937
,16,7,10,3,520,17601,9,10,192,0,21,4189203546,132,135656964,17376,1912,1,571
