avatarfull,competitive_rank,is_contributor,last_login,leaderboard_rank,loccountrycode,mmr_estimate,name,personaname,profileurl,solo_competitive_rank,steam_id
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/d3/d3953993fce32c71db34eefc17642011cd844433_full.jpg,5886.0,False,,234.0,CN,6468,,life is like a boat,https://steamcommunity.com/profiles/76561198100946370/,6641.0,140680642
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/28/2849f738f4f5c8d7b6214b9f8a2b6c6fbb37aed4_full.jpg,,False,,77.0,,7002,fy,Joe,https://steamcommunity.com/profiles/76561198061960890/,8143.0,101695162
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/3b/3bf08fd4d293eb731b273bd91ae55c82f08f13aa_full.jpg,,False,,779.0,,6025,,Doraemon,https://steamcommunity.com/profiles/76561198098422577/,6338.0,138156849
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c1/c1a7b82184a15040ba8821168935aae74910de7a_full.jpg,,False,,1251.0,,5847,,孤儿(123),https://steamcommunity.com/profiles/76561198216578928/,6357.0,256313200
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/35/357d8e5c60f50e6c431df6f1cc21170c19c4a7d0_full.jpg,,False,,599.0,,5734,,人狠话不多,https://steamcommunity.com/profiles/76561198098371367/,4259.0,138105639
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/39/39500191540a37f99ab81cbc7ba7351e507a67d2_full.jpg,,False,,137.0,,6357,,除了帅 一无所有,https://steamcommunity.com/profiles/76561198162036569/,,201770841
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/cf/cf31354b20e56b371ecf2746aa5bbcabb29c7e6e_full.jpg,,False,,1048.0,CN,5743,,ʚKKɞ,https://steamcommunity.com/id/582081736/,,279997546
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c1/c1c236b65a26666bf5688fd8ae4eb347ec55d585_full.jpg,4522.0,False,,309.0,CN,5909,,123,https://steamcommunity.com/profiles/76561198086127186/,6517.0,125861458
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/e5/e539ffdadd0cf5d82b48fb33d3b60069f7baf8c7_full.jpg,5800.0,False,,73.0,,6063,happy,你快乐吗,https://steamcommunity.com/profiles/76561198090681764/,6912.0,130416036
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c0/c0619d4e605f428db116c1ef5b988032d2800e3b_full.jpg,5111.0,False,,910.0,CN,5240,,Zun,https://steamcommunity.com/profiles/76561198112064522/,5400.0,151798794
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c0/c0c461a14b27f9d2584d30d5c4bb67101062605a_full.jpg,,False,,8.0,CN,6863,,Xm,https://steamcommunity.com/profiles/76561198097395311/,8210.0,137129583
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/9d/9d9a72c22d03424416291460d3767ba129223711_full.jpg,,False,,402.0,,6476,,弄巧成拙,https://steamcommunity.com/profiles/76561198209282724/,,249016996
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/80/80191830857b95bad4d7dffa749b2b3fb4a4a434_full.jpg,4805.0,False,,288.0,,6328,,w L。,https://steamcommunity.com/profiles/76561198284116715/,6767.0,323850987
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/4c/4c9c0839db77a1fc0113f89f67bb8e62e960a36e_full.jpg,5406.0,False,2017-05-30T01:02:42.811Z,316.0,CN,6337,,白仔,https://steamcommunity.com/id/baibairimeng/,6371.0,180950681
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6c/6cd0f5774419c25a23087d175a1b8926dece2225_full.jpg,,False,,76.0,CN,6767,Kamma,阿雁,https://steamcommunity.com/profiles/76561198097538713/,8023.0,137272985
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/2c/2cbaf66a61929792aa8ae3777c7949d41a2f02d4_full.jpg,,False,2018-06-14T10:22:33.485Z,289.0,,6270,,上网,https://steamcommunity.com/profiles/76561198821493589/,,861227861
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/db/db602a5d877bf66a24f5236fecd4f05600f0d10e_full.jpg,4736.0,False,,481.0,CN,6256,,z肚鸡 打3,https://steamcommunity.com/profiles/76561198246254954/,6328.0,285989226
